"variable_combination","adjR2","AIC"
"TA_sd+PCV_sd+MAT_sd+TSN_mean+PSN_mean+NA+NA+NA+NA","0.753","249.478"
"TA_sd+MAT_mean+MAT_sd+TSN_mean+PSN_mean+NA+NA+NA+NA","0.777","233.336"
"PA_sd+TCV_mean+PCV_sd+MAT_mean+MAT_sd+NA+NA+NA+NA","0.787","225.765"
"PA_sd+TCV_mean+PCV_sd+MAT_mean+TSN_mean+NA+NA+NA+NA","0.791","222.528"
"PA_sd+TCV_mean+PCV_sd+MAT_mean+PSN_mean+NA+NA+NA+NA","0.795","219.447"
"PA_sd+TCV_mean+PCV_sd+MAT_sd+TSN_mean+NA+NA+NA+NA","0.734","261.632"
"PA_sd+TCV_mean+PCV_sd+MAT_sd+PSN_mean+NA+NA+NA+NA","0.733","262.54"
"PA_sd+TCV_mean+PCV_sd+TSN_mean+PSN_mean+NA+NA+NA+NA","0.742","256.632"
"PA_sd+TCV_mean+MAT_mean+MAT_sd+TSN_mean+NA+NA+NA+NA","0.772","236.311"
"PA_sd+TCV_mean+MAT_mean+MAT_sd+PSN_mean+NA+NA+NA+NA","0.775","234.694"
"PA_sd+TCV_mean+MAT_mean+TSN_mean+PSN_mean+NA+NA+NA+NA","0.779","231.698"
"PA_sd+TCV_mean+MAT_sd+TSN_mean+PSN_mean+NA+NA+NA+NA","0.72","270.198"
"PA_sd+PCV_sd+MAT_mean+MAT_sd+TSN_mean+NA+NA+NA+NA","0.791","222.679"
"PA_sd+PCV_sd+MAT_mean+MAT_sd+PSN_mean+NA+NA+NA+NA","0.795","219.562"
"PA_sd+PCV_sd+MAT_mean+TSN_mean+PSN_mean+NA+NA+NA+NA","0.798","217.251"
"PA_sd+PCV_sd+MAT_sd+TSN_mean+PSN_mean+NA+NA+NA+NA","0.742","256.555"
"PA_sd+MAT_mean+MAT_sd+TSN_mean+PSN_mean+NA+NA+NA+NA","0.778","232.103"
"TCV_mean+PCV_sd+MAT_mean+MAT_sd+TSN_mean+NA+NA+NA+NA","0.789","224.011"
"TCV_mean+PCV_sd+MAT_mean+MAT_sd+PSN_mean+NA+NA+NA+NA","0.793","220.734"
"TCV_mean+PCV_sd+MAT_mean+TSN_mean+PSN_mean+NA+NA+NA+NA","0.796","218.795"
"TCV_mean+PCV_sd+MAT_sd+TSN_mean+PSN_mean+NA+NA+NA+NA","0.742","256.512"
"TCV_mean+MAT_mean+MAT_sd+TSN_mean+PSN_mean+NA+NA+NA+NA","0.774","234.931"
"PCV_sd+MAT_mean+MAT_sd+TSN_mean+PSN_mean+NA+NA+NA+NA","0.796","218.768"
"TA_mean+TA_sd+PA_sd+TCV_mean+PCV_sd+MAT_mean+NA+NA+NA","0.789","225.839"
"TA_mean+TA_sd+PA_sd+TCV_mean+PCV_sd+MAT_sd+NA+NA+NA","0.738","261.062"
"TA_mean+TA_sd+PA_sd+TCV_mean+PCV_sd+TSN_mean+NA+NA+NA","0.749","254.27"
"TA_mean+TA_sd+PA_sd+TCV_mean+PCV_sd+PSN_mean+NA+NA+NA","0.751","253.239"
"TA_mean+TA_sd+PA_sd+TCV_mean+MAT_mean+MAT_sd+NA+NA+NA","0.772","238.943"
"TA_mean+TA_sd+PA_sd+TCV_mean+MAT_mean+TSN_mean+NA+NA+NA","0.777","235.016"
"TA_mean+TA_sd+PA_sd+TCV_mean+MAT_mean+PSN_mean+NA+NA+NA","0.781","232.343"
"TA_mean+TA_sd+PA_sd+TCV_mean+MAT_sd+TSN_mean+NA+NA+NA","0.729","266.675"
"TA_mean+TA_sd+PA_sd+TCV_mean+MAT_sd+PSN_mean+NA+NA+NA","0.73","266.049"
"TA_mean+TA_sd+PA_sd+TCV_mean+TSN_mean+PSN_mean+NA+NA+NA","0.739","260.56"
"TA_mean+TA_sd+PA_sd+PCV_sd+MAT_mean+MAT_sd+NA+NA+NA","0.79","225.164"
"TA_mean+TA_sd+PA_sd+PCV_sd+MAT_mean+TSN_mean+NA+NA+NA","0.794","222.362"
"TA_mean+TA_sd+PA_sd+PCV_sd+MAT_mean+PSN_mean+NA+NA+NA","0.799","218.115"
"TA_mean+TA_sd+PA_sd+PCV_sd+MAT_sd+TSN_mean+NA+NA+NA","0.75","253.809"
"TA_mean+TA_sd+PA_sd+PCV_sd+MAT_sd+PSN_mean+NA+NA+NA","0.751","253.009"
"TA_mean+TA_sd+PA_sd+PCV_sd+TSN_mean+PSN_mean+NA+NA+NA","0.759","247.401"
"TA_mean+TA_sd+PA_sd+MAT_mean+MAT_sd+TSN_mean+NA+NA+NA","0.776","235.553"
"TA_mean+TA_sd+PA_sd+MAT_mean+MAT_sd+PSN_mean+NA+NA+NA","0.78","233.044"
"TA_mean+TA_sd+PA_sd+MAT_mean+TSN_mean+PSN_mean+NA+NA+NA","0.783","230.315"
"TA_mean+TA_sd+PA_sd+MAT_sd+TSN_mean+PSN_mean+NA+NA+NA","0.739","260.533"
"TA_mean+TA_sd+TCV_mean+PCV_sd+MAT_mean+MAT_sd+NA+NA+NA","0.789","226.228"
"TA_mean+TA_sd+TCV_mean+PCV_sd+MAT_mean+TSN_mean+NA+NA+NA","0.792","223.719"
"TA_mean+TA_sd+TCV_mean+PCV_sd+MAT_mean+PSN_mean+NA+NA+NA","0.798","219.254"
"TA_mean+TA_sd+TCV_mean+PCV_sd+MAT_sd+TSN_mean+NA+NA+NA","0.75","253.818"
"TA_mean+TA_sd+TCV_mean+PCV_sd+MAT_sd+PSN_mean+NA+NA+NA","0.751","252.866"
"TA_mean+TA_sd+TCV_mean+PCV_sd+TSN_mean+PSN_mean+NA+NA+NA","0.759","247.428"
"TA_mean+TA_sd+TCV_mean+MAT_mean+MAT_sd+TSN_mean+NA+NA+NA","0.773","238.165"
"TA_mean+TA_sd+TCV_mean+MAT_mean+MAT_sd+PSN_mean+NA+NA+NA","0.776","235.402"
"TA_mean+TA_sd+TCV_mean+MAT_mean+TSN_mean+PSN_mean+NA+NA+NA","0.78","233.084"
"TA_mean+TA_sd+TCV_mean+MAT_sd+TSN_mean+PSN_mean+NA+NA+NA","0.739","260.785"
"TA_mean+TA_sd+PCV_sd+MAT_mean+MAT_sd+TSN_mean+NA+NA+NA","0.792","223.54"
"TA_mean+TA_sd+PCV_sd+MAT_mean+MAT_sd+PSN_mean+NA+NA+NA","0.798","219.247"
"TA_mean+TA_sd+PCV_sd+MAT_mean+TSN_mean+PSN_mean+NA+NA+NA","0.799","217.664"
"TA_mean+TA_sd+PCV_sd+MAT_sd+TSN_mean+PSN_mean+NA+NA+NA","0.759","247.29"
"TA_mean+TA_sd+MAT_mean+MAT_sd+TSN_mean+PSN_mean+NA+NA+NA","0.779","233.283"
"TA_mean+PA_sd+TCV_mean+PCV_sd+MAT_mean+MAT_sd+NA+NA+NA","0.788","226.901"
"TA_mean+PA_sd+TCV_mean+PCV_sd+MAT_mean+TSN_mean+NA+NA+NA","0.792","223.389"
"TA_mean+PA_sd+TCV_mean+PCV_sd+MAT_mean+PSN_mean+NA+NA+NA","0.797","219.952"
"TA_mean+PA_sd+TCV_mean+PCV_sd+MAT_sd+TSN_mean+NA+NA+NA","0.739","260.576"
"TA_mean+PA_sd+TCV_mean+PCV_sd+MAT_sd+PSN_mean+NA+NA+NA","0.739","260.742"
"TA_mean+PA_sd+TCV_mean+PCV_sd+TSN_mean+PSN_mean+NA+NA+NA","0.748","254.786"
"TA_mean+PA_sd+TCV_mean+MAT_mean+MAT_sd+TSN_mean+NA+NA+NA","0.774","236.802"
"TA_mean+PA_sd+TCV_mean+MAT_mean+MAT_sd+PSN_mean+NA+NA+NA","0.777","234.871"
"TA_mean+PA_sd+TCV_mean+MAT_mean+TSN_mean+PSN_mean+NA+NA+NA","0.781","231.962"
"TA_mean+PA_sd+TCV_mean+MAT_sd+TSN_mean+PSN_mean+NA+NA+NA","0.728","267.149"
"TA_mean+PA_sd+PCV_sd+MAT_mean+MAT_sd+TSN_mean+NA+NA+NA","0.792","223.978"
"TA_mean+PA_sd+PCV_sd+MAT_mean+MAT_sd+PSN_mean+NA+NA+NA","0.796","220.604"
"TA_mean+PA_sd+PCV_sd+MAT_mean+TSN_mean+PSN_mean+NA+NA+NA","0.799","218.162"
"TA_mean+PA_sd+PCV_sd+MAT_sd+TSN_mean+PSN_mean+NA+NA+NA","0.748","254.777"
"TA_mean+PA_sd+MAT_mean+MAT_sd+TSN_mean+PSN_mean+NA+NA+NA","0.78","232.474"
"TA_mean+TCV_mean+PCV_sd+MAT_mean+MAT_sd+TSN_mean+NA+NA+NA","0.79","225.107"
"TA_mean+TCV_mean+PCV_sd+MAT_mean+MAT_sd+PSN_mean+NA+NA+NA","0.795","221.56"
"TA_mean+TCV_mean+PCV_sd+MAT_mean+TSN_mean+PSN_mean+NA+NA+NA","0.797","219.465"
"TA_mean+TCV_mean+PCV_sd+MAT_sd+TSN_mean+PSN_mean+NA+NA+NA","0.748","254.779"
"TA_mean+TCV_mean+MAT_mean+MAT_sd+TSN_mean+PSN_mean+NA+NA+NA","0.777","234.994"
"TA_mean+PCV_sd+MAT_mean+MAT_sd+TSN_mean+PSN_mean+NA+NA+NA","0.797","219.791"
"TA_sd+PA_sd+TCV_mean+PCV_sd+MAT_mean+MAT_sd+NA+NA+NA","0.79","225.558"
"TA_sd+PA_sd+TCV_mean+PCV_sd+MAT_mean+TSN_mean+NA+NA+NA","0.793","222.823"
"TA_sd+PA_sd+TCV_mean+PCV_sd+MAT_mean+PSN_mean+NA+NA+NA","0.798","219.094"
"TA_sd+PA_sd+TCV_mean+PCV_sd+MAT_sd+TSN_mean+NA+NA+NA","0.744","257.247"
"TA_sd+PA_sd+TCV_mean+PCV_sd+MAT_sd+PSN_mean+NA+NA+NA","0.745","257.044"
"TA_sd+PA_sd+TCV_mean+PCV_sd+TSN_mean+PSN_mean+NA+NA+NA","0.752","252.093"
"TA_sd+PA_sd+TCV_mean+MAT_mean+MAT_sd+TSN_mean+NA+NA+NA","0.775","236.576"
"TA_sd+PA_sd+TCV_mean+MAT_mean+MAT_sd+PSN_mean+NA+NA+NA","0.778","234.486"
"TA_sd+PA_sd+TCV_mean+MAT_mean+TSN_mean+PSN_mean+NA+NA+NA","0.781","231.849"
"TA_sd+PA_sd+TCV_mean+MAT_sd+TSN_mean+PSN_mean+NA+NA+NA","0.73","265.976"
"TA_sd+PA_sd+PCV_sd+MAT_mean+MAT_sd+TSN_mean+NA+NA+NA","0.794","222.403"
"TA_sd+PA_sd+PCV_sd+MAT_mean+MAT_sd+PSN_mean+NA+NA+NA","0.798","218.779"
"TA_sd+PA_sd+PCV_sd+MAT_mean+TSN_mean+PSN_mean+NA+NA+NA","0.8","217.068"
"TA_sd+PA_sd+PCV_sd+MAT_sd+TSN_mean+PSN_mean+NA+NA+NA","0.753","251.449"
"TA_sd+PA_sd+MAT_mean+MAT_sd+TSN_mean+PSN_mean+NA+NA+NA","0.781","232.104"
"TA_sd+TCV_mean+PCV_sd+MAT_mean+MAT_sd+TSN_mean+NA+NA+NA","0.792","223.975"
"TA_sd+TCV_mean+PCV_sd+MAT_mean+MAT_sd+PSN_mean+NA+NA+NA","0.796","220.178"
"TA_sd+TCV_mean+PCV_sd+MAT_mean+TSN_mean+PSN_mean+NA+NA+NA","0.798","218.848"
"TA_sd+TCV_mean+PCV_sd+MAT_sd+TSN_mean+PSN_mean+NA+NA+NA","0.753","251.424"
"TA_sd+TCV_mean+MAT_mean+MAT_sd+TSN_mean+PSN_mean+NA+NA+NA","0.777","235.2"
"TA_sd+PCV_sd+MAT_mean+MAT_sd+TSN_mean+PSN_mean+NA+NA+NA","0.799","218.37"
"PA_sd+TCV_mean+PCV_sd+MAT_mean+MAT_sd+TSN_mean+NA+NA+NA","0.792","223.785"
"PA_sd+TCV_mean+PCV_sd+MAT_mean+MAT_sd+PSN_mean+NA+NA+NA","0.795","220.894"
"PA_sd+TCV_mean+PCV_sd+MAT_mean+TSN_mean+PSN_mean+NA+NA+NA","0.798","218.557"
"PA_sd+TCV_mean+PCV_sd+MAT_sd+TSN_mean+PSN_mean+NA+NA+NA","0.742","258.507"
"PA_sd+TCV_mean+MAT_mean+MAT_sd+TSN_mean+PSN_mean+NA+NA+NA","0.779","233.672"
"PA_sd+PCV_sd+MAT_mean+MAT_sd+TSN_mean+PSN_mean+NA+NA+NA","0.798","218.861"
"TCV_mean+PCV_sd+MAT_mean+MAT_sd+TSN_mean+PSN_mean+NA+NA+NA","0.796","220.365"
"TA_mean+TA_sd+PA_sd+TCV_mean+PCV_sd+MAT_mean+MAT_sd+NA+NA","0.791","226.518"
"TA_mean+TA_sd+PA_sd+TCV_mean+PCV_sd+MAT_mean+TSN_mean+NA+NA","0.795","223.413"
"TA_mean+TA_sd+PA_sd+TCV_mean+PCV_sd+MAT_mean+PSN_mean+NA+NA","0.8","219.089"
"TA_mean+TA_sd+PA_sd+TCV_mean+PCV_sd+MAT_sd+TSN_mean+NA+NA","0.75","255.779"
"TA_mean+TA_sd+PA_sd+TCV_mean+PCV_sd+MAT_sd+PSN_mean+NA+NA","0.751","254.803"
"TA_mean+TA_sd+PA_sd+TCV_mean+PCV_sd+TSN_mean+PSN_mean+NA+NA","0.759","249.4"
"TA_mean+TA_sd+PA_sd+TCV_mean+MAT_mean+MAT_sd+TSN_mean+NA+NA","0.777","236.904"
"TA_mean+TA_sd+PA_sd+TCV_mean+MAT_mean+MAT_sd+PSN_mean+NA+NA","0.781","234.322"
"TA_mean+TA_sd+PA_sd+TCV_mean+MAT_mean+TSN_mean+PSN_mean+NA+NA","0.784","231.783"
"TA_mean+TA_sd+PA_sd+TCV_mean+MAT_sd+TSN_mean+PSN_mean+NA+NA","0.739","262.524"
"TA_mean+TA_sd+PA_sd+PCV_sd+MAT_mean+MAT_sd+TSN_mean+NA+NA","0.795","223.575"
"TA_mean+TA_sd+PA_sd+PCV_sd+MAT_mean+MAT_sd+PSN_mean+NA+NA","0.8","219.568"
"TA_mean+TA_sd+PA_sd+PCV_sd+MAT_mean+TSN_mean+PSN_mean+NA+NA","0.802","217.674"
"TA_mean+TA_sd+PA_sd+PCV_sd+MAT_sd+TSN_mean+PSN_mean+NA+NA","0.76","249.261"
"TA_mean+TA_sd+PA_sd+MAT_mean+MAT_sd+TSN_mean+PSN_mean+NA+NA","0.783","232.299"
"TA_mean+TA_sd+TCV_mean+PCV_sd+MAT_mean+MAT_sd+TSN_mean+NA+NA","0.793","224.928"
"TA_mean+TA_sd+TCV_mean+PCV_sd+MAT_mean+MAT_sd+PSN_mean+NA+NA","0.798","220.723"
"TA_mean+TA_sd+TCV_mean+PCV_sd+MAT_mean+TSN_mean+PSN_mean+NA+NA","0.8","219.184"
"TA_mean+TA_sd+TCV_mean+PCV_sd+MAT_sd+TSN_mean+PSN_mean+NA+NA","0.76","249.288"
"TA_mean+TA_sd+TCV_mean+MAT_mean+MAT_sd+TSN_mean+PSN_mean+NA+NA","0.78","235.076"
"TA_mean+TA_sd+PCV_sd+MAT_mean+MAT_sd+TSN_mean+PSN_mean+NA+NA","0.8","219.222"
"TA_mean+PA_sd+TCV_mean+PCV_sd+MAT_mean+MAT_sd+TSN_mean+NA+NA","0.793","224.967"
"TA_mean+PA_sd+TCV_mean+PCV_sd+MAT_mean+MAT_sd+PSN_mean+NA+NA","0.797","221.741"
"TA_mean+PA_sd+TCV_mean+PCV_sd+MAT_mean+TSN_mean+PSN_mean+NA+NA","0.8","219.326"
"TA_mean+PA_sd+TCV_mean+PCV_sd+MAT_sd+TSN_mean+PSN_mean+NA+NA","0.748","256.775"
"TA_mean+PA_sd+TCV_mean+MAT_mean+MAT_sd+TSN_mean+PSN_mean+NA+NA","0.781","233.95"
"TA_mean+PA_sd+PCV_sd+MAT_mean+MAT_sd+TSN_mean+PSN_mean+NA+NA","0.799","219.995"
"TA_mean+TCV_mean+PCV_sd+MAT_mean+MAT_sd+TSN_mean+PSN_mean+NA+NA","0.797","221.292"
"TA_sd+PA_sd+TCV_mean+PCV_sd+MAT_mean+MAT_sd+TSN_mean+NA+NA","0.795","223.559"
"TA_sd+PA_sd+TCV_mean+PCV_sd+MAT_mean+MAT_sd+PSN_mean+NA+NA","0.799","220.083"
"TA_sd+PA_sd+TCV_mean+PCV_sd+MAT_mean+TSN_mean+PSN_mean+NA+NA","0.801","218.399"
"TA_sd+PA_sd+TCV_mean+PCV_sd+MAT_sd+TSN_mean+PSN_mean+NA+NA","0.753","253.403"
"TA_sd+PA_sd+TCV_mean+MAT_mean+MAT_sd+TSN_mean+PSN_mean+NA+NA","0.781","233.69"
"TA_sd+PA_sd+PCV_sd+MAT_mean+MAT_sd+TSN_mean+PSN_mean+NA+NA","0.801","218.257"
"TA_sd+TCV_mean+PCV_sd+MAT_mean+MAT_sd+TSN_mean+PSN_mean+NA+NA","0.799","220.003"
"PA_sd+TCV_mean+PCV_sd+MAT_mean+MAT_sd+TSN_mean+PSN_mean+NA+NA","0.799","220.145"
"TA_mean+TA_sd+PA_sd+TCV_mean+PCV_sd+MAT_mean+MAT_sd+TSN_mean+NA","0.796","224.596"
"TA_mean+TA_sd+PA_sd+TCV_mean+PCV_sd+MAT_mean+MAT_sd+PSN_mean+NA","0.801","220.613"
"TA_mean+TA_sd+PA_sd+TCV_mean+PCV_sd+MAT_mean+TSN_mean+PSN_mean+NA","0.803","218.813"
"TA_mean+TA_sd+PA_sd+TCV_mean+PCV_sd+MAT_sd+TSN_mean+PSN_mean+NA","0.76","251.261"
"TA_mean+TA_sd+PA_sd+TCV_mean+MAT_mean+MAT_sd+TSN_mean+PSN_mean+NA","0.784","233.768"
"TA_mean+TA_sd+PA_sd+PCV_sd+MAT_mean+MAT_sd+TSN_mean+PSN_mean+NA","0.802","219.223"
"TA_mean+TA_sd+TCV_mean+PCV_sd+MAT_mean+MAT_sd+TSN_mean+PSN_mean+NA","0.801","220.74"
"TA_mean+PA_sd+TCV_mean+PCV_sd+MAT_mean+MAT_sd+TSN_mean+PSN_mean+NA","0.8","221.159"
"TA_sd+PA_sd+TCV_mean+PCV_sd+MAT_mean+MAT_sd+TSN_mean+PSN_mean+NA","0.802","219.565"
"TA_mean+TA_sd+PA_sd+TCV_mean+PCV_sd+MAT_mean+MAT_sd+TSN_mean+PSN_mean","0.803","220.376"
